"""Everyone is laughing at you behind your back.""",bullying
"""You don’t belong in this group and you never will.""",bullying
"""We’re all going out, but you aren't invited.""",bullying
"""Stop trying so hard, nobody likes you here.""",bullying
"""I'm going to tell everyone your secrets.""",bullying
"""Nobody asked for your input, so stay quiet.""",bullying
"""We have a group chat without you for a reason.""",bullying
"""You're so weird, no wonder you have no friends.""",bullying
"""Everyone agrees that we should just ignore you.""",bullying
"""You’re just a joke to this entire community.""",bullying
